mun_mic_mes,Municipio_ID
"São Paulo de OlivençaAlto SolimõesSudoeste Amazonense",127
"São Sebastião do UatumãParintinsCentro Amazonense",128
"SilvesItacoatiaraCentro Amazonense",129
"TabatingaAlto SolimõesSudoeste Amazonense",130
"TapauáPurusSul Amazonense",131
"TeféTeféCentro Amazonense",132
"TonantinsAlto SolimõesSudoeste Amazonense",133
"UariniTeféCentro Amazonense",134
"UrucaráParintinsCentro Amazonense",135
"UrucuritubaItacoatiaraCentro Amazonense",136
"Alto AlegreBoa VistaNorte de Roraima",137
"AmajariBoa VistaNorte de Roraima",138
"Boa VistaBoa VistaNorte de Roraima",139
"BonfimNordeste de RoraimaNorte de Roraima",140
"CantáNordeste de RoraimaNorte de Roraima",141
"CaracaraíCaracaraíSul de Roraima",142
"CaroebeSudeste de RoraimaSul de Roraima",143
"IracemaCaracaraíSul de Roraima",144
"MucajaíCaracaraíSul de Roraima",145
"NormandiaNordeste de RoraimaNorte de Roraima",146
"PacaraimaBoa VistaNorte de Roraima",147
"RorainópolisSudeste de RoraimaSul de Roraima",148
"São João da BalizaSudeste de RoraimaSul de Roraima",149
"São LuizSudeste de RoraimaSul de Roraima",150
"UiramutãNordeste de RoraimaNorte de Roraima",151
"AbaetetubaCametáNordeste Paraense",152
"Abel FigueiredoParagominasSudeste Paraense",153
"AcaráTomé-AçuNordeste Paraense",154
"AfuáFuros de BrevesMarajó",155
"Água Azul do NorteParauapebasSudeste Paraense",156
"AlenquerSantarémBaixo Amazonas",157
"AlmeirimAlmeirimBaixo Amazonas",158
"AltamiraAltamiraSudoeste Paraense",159
"AnajásFuros de BrevesMarajó",160
"AnanindeuaBelémMetropolitana de Belém",161
"AnapuAltamiraSudoeste Paraense",162
"Augusto CorrêaBragantinaNordeste Paraense",163
"Aurora do ParáGuamáNordeste Paraense",164
"AveiroItaitubaSudoeste Paraense",165
BagrePortelMarajó,166
"BaiãoCametáNordeste Paraense",167
