Municipio_ID,Municipio_Nome (UF),Municipio_Nome,Microrregião_ID,Microrregião,Mesorregião,UF,Municipio_Meso_Micro
16,Corumbiara (RO),Corumbiara,5,Colorado do Oeste,Leste Rondoniense,RO,CorumbiaraColorado do OesteLeste Rondoniense
17,Costa Marques (RO),Costa Marques,7,Guajará-Mirim,Madeira-Guaporé,RO,Costa MarquesGuajará-MirimMadeira-Guaporé
18,Cujubim (RO),Cujubim,4,Porto Velho,Madeira-Guaporé,RO,CujubimPorto VelhoMadeira-Guaporé
19,Espigão D'Oeste (RO),Espigão D'Oeste,1,Cacoal,Leste Rondoniense,RO,Espigão D'OesteCacoalLeste Rondoniense
20,Governador Jorge Teixeira (RO),Governador Jorge Teixeira,8,Ji-Paraná,Leste Rondoniense,RO,Governador Jorge TeixeiraJi-ParanáLeste Rondoniense
21,Guajará-Mirim (RO),Guajará-Mirim,7,Guajará-Mirim,Madeira-Guaporé,RO,Guajará-MirimGuajará-MirimMadeira-Guaporé
22,Itapuã do Oeste (RO),Itapuã do Oeste,4,Porto Velho,Madeira-Guaporé,RO,Itapuã do OestePorto VelhoMadeira-Guaporé
23,Jaru (RO),Jaru,8,Ji-Paraná,Leste Rondoniense,RO,JaruJi-ParanáLeste Rondoniense
24,Ji-Paraná (RO),Ji-Paraná,8,Ji-Paraná,Leste Rondoniense,RO,Ji-ParanáJi-ParanáLeste Rondoniense
25,Machadinho D'Oeste (RO),Machadinho D'Oeste,2,Ariquemes,Leste Rondoniense,RO,Machadinho D'OesteAriquemesLeste Rondoniense
26,Ministro Andreazza (RO),Ministro Andreazza,1,Cacoal,Leste Rondoniense,RO,Ministro AndreazzaCacoalLeste Rondoniense
27,Mirante da Serra (RO),Mirante da Serra,8,Ji-Paraná,Leste Rondoniense,RO,Mirante da SerraJi-ParanáLeste Rondoniense
28,Monte Negro (RO),Monte Negro,2,Ariquemes,Leste Rondoniense,RO,Monte NegroAriquemesLeste Rondoniense
29,Nova Brasilândia D'Oeste (RO),Nova Brasilândia D'Oeste,3,Alvorada D'Oeste,Leste Rondoniense,RO,Nova Brasilândia D'OesteAlvorada D'OesteLeste Rondoniense
30,Nova Mamoré (RO),Nova Mamoré,4,Porto Velho,Madeira-Guaporé,RO,Nova MamoréPorto VelhoMadeira-Guaporé
31,Nova União (RO),Nova União,8,Ji-Paraná,Leste Rondoniense,RO,Nova UniãoJi-ParanáLeste Rondoniense
32,Novo Horizonte do Oeste (RO),Novo Horizonte do Oeste,1,Cacoal,Leste Rondoniense,RO,Novo Horizonte do OesteCacoalLeste Rondoniense
33,Ouro Preto do Oeste (RO),Ouro Preto do Oeste,8,Ji-Paraná,Leste Rondoniense,RO,Ouro Preto do OesteJi-ParanáLeste Rondoniense
34,Parecis (RO),Parecis,6,Vilhena,Leste Rondoniense,RO,ParecisVilhenaLeste Rondoniense
35,Pimenta Bueno (RO),Pimenta Bueno,6,Vilhena,Leste Rondoniense,RO,Pimenta BuenoVilhenaLeste Rondoniense
36,Pimenteiras do Oeste (RO),Pimenteiras do Oeste,5,Colorado do Oeste,Leste Rondoniense,RO,Pimenteiras do OesteColorado do OesteLeste Rondoniense
37,Porto Velho (RO),Porto Velho,4,Porto Velho,Madeira-Guaporé,RO,Porto VelhoPorto VelhoMadeira-Guaporé
38,Presidente Médici (RO),Presidente Médici,8,Ji-Paraná,Leste Rondoniense,RO,Presidente MédiciJi-ParanáLeste Rondoniense
39,Primavera de Rondônia (RO),Primavera de Rondônia,6,Vilhena,Leste Rondoniense,RO,Primavera de RondôniaVilhenaLeste Rondoniense
40,Rio Crespo (RO),Rio Crespo,2,Ariquemes,Leste Rondoniense,RO,Rio CrespoAriquemesLeste Rondoniense
41,Rolim de Moura (RO),Rolim de Moura,1,Cacoal,Leste Rondoniense,RO,Rolim de MouraCacoalLeste Rondoniense
42,Santa Luzia D'Oeste (RO),Santa Luzia D'Oeste,1,Cacoal,Leste Rondoniense,RO,Santa Luzia D'OesteCacoalLeste Rondoniense
43,São Felipe D'Oeste (RO),São Felipe D'Oeste,6,Vilhena,Leste Rondoniense,RO,São Felipe D'OesteVilhenaLeste Rondoniense
44,São Francisco do Guaporé (RO),São Francisco do Guaporé,7,Guajará-Mirim,Madeira-Guaporé,RO,São Francisco do GuaporéGuajará-MirimMadeira-Guaporé
45,São Miguel do Guaporé (RO),São Miguel do Guaporé,3,Alvorada D'Oeste,Leste Rondoniense,RO,São Miguel do GuaporéAlvorada D'OesteLeste Rondoniense
46,Seringueiras (RO),Seringueiras,3,Alvorada D'Oeste,Leste Rondoniense,RO,SeringueirasAlvorada D'OesteLeste Rondoniense
47,Teixeirópolis (RO),Teixeirópolis,8,Ji-Paraná,Leste Rondoniense,RO,TeixeirópolisJi-ParanáLeste Rondoniense
48,Theobroma (RO),Theobroma,8,Ji-Paraná,Leste Rondoniense,RO,TheobromaJi-ParanáLeste Rondoniense
49,Urupá (RO),Urupá,8,Ji-Paraná,Leste Rondoniense,RO,UrupáJi-ParanáLeste Rondoniense
50,Vale do Anari (RO),Vale do Anari,2,Ariquemes,Leste Rondoniense,RO,Vale do AnariAriquemesLeste Rondoniense
51,Vale do Paraíso (RO),Vale do Paraíso,8,Ji-Paraná,Leste Rondoniense,RO,Vale do ParaísoJi-ParanáLeste Rondoniense
52,Vilhena (RO),Vilhena,6,Vilhena,Leste Rondoniense,RO,VilhenaVilhenaLeste Rondoniense
53,Acrelândia (AC),Acrelândia,9,Rio Branco,Vale do Acre,AC,AcrelândiaRio BrancoVale do Acre
54,Assis Brasil (AC),Assis Brasil,10,Brasiléia,Vale do Acre,AC,Assis BrasilBrasiléiaVale do Acre
55,Brasiléia (AC),Brasiléia,10,Brasiléia,Vale do Acre,AC,BrasiléiaBrasiléiaVale do Acre
56,Bujari (AC),Bujari,9,Rio Branco,Vale do Acre,AC,BujariRio BrancoVale do Acre
57,Capixaba (AC),Capixaba,9,Rio Branco,Vale do Acre,AC,CapixabaRio BrancoVale do Acre
58,Cruzeiro do Sul (AC),Cruzeiro do Sul,11,Cruzeiro do Sul,Vale do Juruá,AC,Cruzeiro do SulCruzeiro do SulVale do Juruá
59,Epitaciolândia (AC),Epitaciolândia,10,Brasiléia,Vale do Acre,AC,EpitaciolândiaBrasiléiaVale do Acre
60,Feijó (AC),Feijó,12,Tarauacá,Vale do Juruá,AC,FeijóTarauacáVale do Juruá
61,Jordão (AC),Jordão,12,Tarauacá,Vale do Juruá,AC,JordãoTarauacáVale do Juruá
62,Mâncio Lima (AC),Mâncio Lima,11,Cruzeiro do Sul,Vale do Juruá,AC,Mâncio LimaCruzeiro do SulVale do Juruá
63,Manoel Urbano (AC),Manoel Urbano,13,Sena Madureira,Vale do Acre,AC,Manoel UrbanoSena MadureiraVale do Acre
64,Marechal Thaumaturgo (AC),Marechal Thaumaturgo,11,Cruzeiro do Sul,Vale do Juruá,AC,Marechal ThaumaturgoCruzeiro do SulVale do Juruá
65,Plácido de Castro (AC),Plácido de Castro,9,Rio Branco,Vale do Acre,AC,Plácido de CastroRio BrancoVale do Acre
66,Porto Acre (AC),Porto Acre,9,Rio Branco,Vale do Acre,AC,Porto AcreRio BrancoVale do Acre
67,Porto Walter (AC),Porto Walter,11,Cruzeiro do Sul,Vale do Juruá,AC,Porto WalterCruzeiro do SulVale do Juruá
68,Rio Branco (AC),Rio Branco,9,Rio Branco,Vale do Acre,AC,Rio BrancoRio BrancoVale do Acre
69,Rodrigues Alves (AC),Rodrigues Alves,11,Cruzeiro do Sul,Vale do Juruá,AC,Rodrigues AlvesCruzeiro do SulVale do Juruá
70,Santa Rosa do Purus (AC),Santa Rosa do Purus,13,Sena Madureira,Vale do Acre,AC,Santa Rosa do PurusSena MadureiraVale do Acre
71,Sena Madureira (AC),Sena Madureira,13,Sena Madureira,Vale do Acre,AC,Sena MadureiraSena MadureiraVale do Acre
72,Senador Guiomard (AC),Senador Guiomard,9,Rio Branco,Vale do Acre,AC,Senador GuiomardRio BrancoVale do Acre
73,Tarauacá (AC),Tarauacá,12,Tarauacá,Vale do Juruá,AC,TarauacáTarauacáVale do Juruá
74,Xapuri (AC),Xapuri,10,Brasiléia,Vale do Acre,AC,XapuriBrasiléiaVale do Acre
75,Alvarães (AM),Alvarães,14,Tefé,Centro Amazonense,AM,AlvarãesTeféCentro Amazonense
76,Amaturá (AM),Amaturá,15,Alto Solimões,Sudoeste Amazonense,AM,AmaturáAlto SolimõesSudoeste Amazonense
77,Anamã (AM),Anamã,16,Coari,Centro Amazonense,AM,AnamãCoariCentro Amazonense
78,Anori (AM),Anori,16,Coari,Centro Amazonense,AM,AnoriCoariCentro Amazonense
79,Apuí (AM),Apuí,17,Madeira,Sul Amazonense,AM,ApuíMadeiraSul Amazonense
80,Atalaia do Norte (AM),Atalaia do Norte,15,Alto Solimões,Sudoeste Amazonense,AM,Atalaia do NorteAlto SolimõesSudoeste Amazonense
81,Autazes (AM),Autazes,18,Manaus,Centro Amazonense,AM,AutazesManausCentro Amazonense
82,Barcelos (AM),Barcelos,19,Rio Negro,Norte Amazonense,AM,BarcelosRio NegroNorte Amazonense
83,Barreirinha (AM),Barreirinha,20,Parintins,Centro Amazonense,AM,BarreirinhaParintinsCentro Amazonense
84,Benjamin Constant (AM),Benjamin Constant,15,Alto Solimões,Sudoeste Amazonense,AM,Benjamin ConstantAlto SolimõesSudoeste Amazonense
85,Beruri (AM),Beruri,16,Coari,Centro Amazonense,AM,BeruriCoariCentro Amazonense
86,Boa Vista do Ramos (AM),Boa Vista do Ramos,20,Parintins,Centro Amazonense,AM,Boa Vista do RamosParintinsCentro Amazonense
87,Boca do Acre (AM),Boca do Acre,21,Boca do Acre,Sul Amazonense,AM,Boca do AcreBoca do AcreSul Amazonense
88,Borba (AM),Borba,17,Madeira,Sul Amazonense,AM,BorbaMadeiraSul Amazonense
89,Caapiranga (AM),Caapiranga,16,Coari,Centro Amazonense,AM,CaapirangaCoariCentro Amazonense
90,Canutama (AM),Canutama,22,Purus,Sul Amazonense,AM,CanutamaPurusSul Amazonense
91,Carauari (AM),Carauari,23,Juruá,Sudoeste Amazonense,AM,CarauariJuruáSudoeste Amazonense
92,Careiro (AM),Careiro,18,Manaus,Centro Amazonense,AM,CareiroManausCentro Amazonense
93,Careiro da Várzea (AM),Careiro da Várzea,18,Manaus,Centro Amazonense,AM,Careiro da VárzeaManausCentro Amazonense
94,Coari (AM),Coari,16,Coari,Centro Amazonense,AM,CoariCoariCentro Amazonense
95,Codajás (AM),Codajás,16,Coari,Centro Amazonense,AM,CodajásCoariCentro Amazonense
96,Eirunepé (AM),Eirunepé,23,Juruá,Sudoeste Amazonense,AM,EirunepéJuruáSudoeste Amazonense
97,Envira (AM),Envira,23,Juruá,Sudoeste Amazonense,AM,EnviraJuruáSudoeste Amazonense
98,Fonte Boa (AM),Fonte Boa,15,Alto Solimões,Sudoeste Amazonense,AM,Fonte BoaAlto SolimõesSudoeste Amazonense
99,Guajará (AM),Guajará,23,Juruá,Sudoeste Amazonense,AM,GuajaráJuruáSudoeste Amazonense
100,Humaitá (AM),Humaitá,17,Madeira,Sul Amazonense,AM,HumaitáMadeiraSul Amazonense
101,Ipixuna (AM),Ipixuna,23,Juruá,Sudoeste Amazonense,AM,IpixunaJuruáSudoeste Amazonense
102,Iranduba (AM),Iranduba,18,Manaus,Centro Amazonense,AM,IrandubaManausCentro Amazonense
103,Itacoatiara (AM),Itacoatiara,24,Itacoatiara,Centro Amazonense,AM,ItacoatiaraItacoatiaraCentro Amazonense
104,Itamarati (AM),Itamarati,23,Juruá,Sudoeste Amazonense,AM,ItamaratiJuruáSudoeste Amazonense
105,Itapiranga (AM),Itapiranga,24,Itacoatiara,Centro Amazonense,AM,ItapirangaItacoatiaraCentro Amazonense
106,Japurá (AM),Japurá,25,Japurá,Norte Amazonense,AM,JapuráJapuráNorte Amazonense
107,Juruá (AM),Juruá,23,Juruá,Sudoeste Amazonense,AM,JuruáJuruáSudoeste Amazonense
108,Jutaí (AM),Jutaí,15,Alto Solimões,Sudoeste Amazonense,AM,JutaíAlto SolimõesSudoeste Amazonense
109,Lábrea (AM),Lábrea,22,Purus,Sul Amazonense,AM,LábreaPurusSul Amazonense
110,Manacapuru (AM),Manacapuru,18,Manaus,Centro Amazonense,AM,ManacapuruManausCentro Amazonense
111,Manaquiri (AM),Manaquiri,18,Manaus,Centro Amazonense,AM,ManaquiriManausCentro Amazonense
112,Manaus (AM),Manaus,18,Manaus,Centro Amazonense,AM,ManausManausCentro Amazonense
113,Manicoré (AM),Manicoré,17,Madeira,Sul Amazonense,AM,ManicoréMadeiraSul Amazonense
114,Maraã (AM),Maraã,25,Japurá,Norte Amazonense,AM,MaraãJapuráNorte Amazonense
115,Maués (AM),Maués,20,Parintins,Centro Amazonense,AM,MauésParintinsCentro Amazonense
116,Nhamundá (AM),Nhamundá,20,Parintins,Centro Amazonense,AM,NhamundáParintinsCentro Amazonense
117,Nova Olinda do Norte (AM),Nova Olinda do Norte,24,Itacoatiara,Centro Amazonense,AM,Nova Olinda do NorteItacoatiaraCentro Amazonense
118,Novo Airão (AM),Novo Airão,19,Rio Negro,Norte Amazonense,AM,Novo AirãoRio NegroNorte Amazonense
119,Novo Aripuanã (AM),Novo Aripuanã,17,Madeira,Sul Amazonense,AM,Novo AripuanãMadeiraSul Amazonense
120,Parintins (AM),Parintins,20,Parintins,Centro Amazonense,AM,ParintinsParintinsCentro Amazonense
121,Pauini (AM),Pauini,21,Boca do Acre,Sul Amazonense,AM,PauiniBoca do AcreSul Amazonense
122,Presidente Figueiredo (AM),Presidente Figueiredo,26,Rio Preto da Eva,Centro Amazonense,AM,Presidente FigueiredoRio Preto da EvaCentro Amazonense
123,Rio Preto da Eva (AM),Rio Preto da Eva,26,Rio Preto da Eva,Centro Amazonense,AM,Rio Preto da EvaRio Preto da EvaCentro Amazonense
124,Santa Isabel do Rio Negro (AM),Santa Isabel do Rio Negro,19,Rio Negro,Norte Amazonense,AM,Santa Isabel do Rio NegroRio NegroNorte Amazonense
125,Santo Antônio do Içá (AM),Santo Antônio do Içá,15,Alto Solimões,Sudoeste Amazonense,AM,Santo Antônio do IçáAlto SolimõesSudoeste Amazonense
126,São Gabriel da Cachoeira (AM),São Gabriel da Cachoeira,19,Rio Negro,Norte Amazonense,AM,São Gabriel da CachoeiraRio NegroNorte Amazonense
127,São Paulo de Olivença (AM),São Paulo de Olivença,15,Alto Solimões,Sudoeste Amazonense,AM,São Paulo de OlivençaAlto SolimõesSudoeste Amazonense
128,São Sebastião do Uatumã (AM),São Sebastião do Uatumã,20,Parintins,Centro Amazonense,AM,São Sebastião do UatumãParintinsCentro Amazonense
129,Silves (AM),Silves,24,Itacoatiara,Centro Amazonense,AM,SilvesItacoatiaraCentro Amazonense
130,Tabatinga (AM),Tabatinga,15,Alto Solimões,Sudoeste Amazonense,AM,TabatingaAlto SolimõesSudoeste Amazonense
131,Tapauá (AM),Tapauá,22,Purus,Sul Amazonense,AM,TapauáPurusSul Amazonense
132,Tefé (AM),Tefé,14,Tefé,Centro Amazonense,AM,TeféTeféCentro Amazonense
133,Tonantins (AM),Tonantins,15,Alto Solimões,Sudoeste Amazonense,AM,TonantinsAlto SolimõesSudoeste Amazonense
134,Uarini (AM),Uarini,14,Tefé,Centro Amazonense,AM,UariniTeféCentro Amazonense
135,Urucará (AM),Urucará,20,Parintins,Centro Amazonense,AM,UrucaráParintinsCentro Amazonense
136,Urucurituba (AM),Urucurituba,24,Itacoatiara,Centro Amazonense,AM,UrucuritubaItacoatiaraCentro Amazonense
137,Alto Alegre (RR),Alto Alegre,27,Boa Vista,Norte de Roraima,RR,Alto AlegreBoa VistaNorte de Roraima
138,Amajari (RR),Amajari,27,Boa Vista,Norte de Roraima,RR,AmajariBoa VistaNorte de Roraima
139,Boa Vista (RR),Boa Vista,27,Boa Vista,Norte de Roraima,RR,Boa VistaBoa VistaNorte de Roraima
140,Bonfim (RR),Bonfim,28,Nordeste de Roraima,Norte de Roraima,RR,BonfimNordeste de RoraimaNorte de Roraima
